Year,Month,Day,Hour,GOES_Num,Direction,URL,Date
1996,7,13,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.13.0600.v01.nc,1996-07-13
1996,7,13,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.13.1200.v01.nc,1996-07-13
1996,7,13,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.13.1800.v01.nc,1996-07-13
1996,7,14,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.14.0000.v01.nc,1996-07-14
1996,7,14,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.14.0600.v01.nc,1996-07-14
1996,7,14,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.14.1200.v01.nc,1996-07-14
1996,7,14,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.14.1800.v01.nc,1996-07-14
1996,7,15,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.15.0000.v01.nc,1996-07-15
1996,7,15,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.15.0600.v01.nc,1996-07-15
1996,7,15,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.15.1200.v01.nc,1996-07-15
1996,7,15,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.15.1800.v01.nc,1996-07-15
1996,7,16,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.16.0000.v01.nc,1996-07-16
1996,7,16,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.16.0600.v01.nc,1996-07-16
1996,7,16,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.16.1200.v01.nc,1996-07-16
1996,7,16,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.16.1800.v01.nc,1996-07-16
1996,7,17,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.17.0000.v01.nc,1996-07-17
